similarity	salientSimilarity	recommendation	questionType	samePrimaryKp	sameDifficulty	sharedExamTypes	leftId	leftSourcePath	leftItemIndex	leftBundleRunId	leftDifficulty	leftPrimaryKpCode	leftExamTypes	leftContentHash	leftStemPreview	rightId	rightSourcePath	rightItemIndex	rightBundleRunId	rightDifficulty	rightPrimaryKpCode	rightExamTypes	rightContentHash	rightStemPreview	leftSimilarityTextPreview	rightSimilarityTextPreview	leftSalientTextPreview	rightSalientTextPreview
0.846154	0.714286	ignore_reviewed_keep_false_positive	single_choice	true	false		papers/2026/2026-05-02-bulk1590-a04-b0128-csp-j-easy-v01/question-bundles/2026-05-02-bulk1590-a04-b0128-csp-j-easy-v01__question-bundle__single-choice__cs__n10__v01.json#0	papers/2026/2026-05-02-bulk1590-a04-b0128-csp-j-easy-v01/question-bundles/2026-05-02-bulk1590-a04-b0128-csp-j-easy-v01__question-bundle__single-choice__cs__n10__v01.json	0	2026-05-02-bulk1590-a04-b0128-csp-j-easy-v01	easy	CS	CSP-J	90ef659cea87846d67a6e94e748b274486c1799c828d975ec3049b5ac0bf0f41	在C++中，表达式 (5 > 3) + (2 < 4) 的值是多少？	papers/2026/2026-05-02-bulk5355-a06-b0456-gesp-2-medium-v01/question-bundles/2026-05-02-bulk5355-a06-b0456-gesp-2-medium-v01__question-bundle__single-choice__cs__n5__v01.json#0	papers/2026/2026-05-02-bulk5355-a06-b0456-gesp-2-medium-v01/question-bundles/2026-05-02-bulk5355-a06-b0456-gesp-2-medium-v01__question-bundle__single-choice__cs__n5__v01.json	0	2026-05-02-bulk5355-a06-b0456-gesp-2-medium-v01	medium	CS	GESP-2	88453e63bd75f56a921701e2f63a210a4788c6e46983a542871ecf1d4ed25f8a	在C++中，表达式 (5 > 3) + (2 < 1) 的值是多少？	在C++中，表达式 (5 > 3) + (2 < 4) 的值是多少？ A. 0 B. 1 C. 2 D. 3	在C++中，表达式 (5 > 3) + (2 < 1) 的值是多少？ A. 0 B. 1 C. 2 D. 3	在 中，表达式 5 3 2 4 的值是多少？ 0 1 2 3	在 中，表达式 5 3 2 1 的值是多少？ 0 1 2 3
0.835294	0.666667	ignore_reviewed_keep_false_positive	single_choice	true	false		papers/2026/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01/question-bundles/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01__question-bundle__single-choice__cpp__n5__v01.json#3	papers/2026/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01/question-bundles/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01__question-bundle__single-choice__cpp__n5__v01.json	3	2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01	medium	CPP	GESP-1	c3cd680b60692d0f57afc7a7d1f06332fe23d89dc3cd0ac9b05f977350ef4e97	在C++中，以下程序的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cout <...	papers/2026/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json#4	papers/2026/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json	4	2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01	easy	CPP	GESP-2	bbec07b9ea83c6dae732e095a58259ae44a14af7f615f41440f89ba17a4e5c02	以下 C++ 代码段执行后，输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cou...	在C++中，以下程序的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cout <...	以下 C++ 代码段执行后，输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cou...	在 中， 的 是什么？ cpp 1 1 2 3 default AB ABC ABCD	段 后， 是什么？ cpp 1 1 2 3 default AB ABCD AD
0.832335	0.766667	ignore_reviewed_keep_false_positive	single_choice	true	true		papers/2026/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json#4	papers/2026/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json	4	2026-05-02-bulk2000-a01-b0029-gesp-2-easy-v01	easy	CPP	GESP-2	bbec07b9ea83c6dae732e095a58259ae44a14af7f615f41440f89ba17a4e5c02	以下 C++ 代码段执行后，输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cou...	papers/2026/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01/question-bundles/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01__question-bundle__single-choice__cpp__n4__v01.json#1	papers/2026/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01/question-bundles/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01__question-bundle__single-choice__cpp__n4__v01.json	1	2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01	easy	CPP	CSP-J	22fb8bf5f93ede9e5668c877759f79cb8e4ee7573a29e6c74f3bdbbba5a94d41	以下 C++ 代码段的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int i = 1; switch (i) { case 1: cout <...	以下 C++ 代码段执行后，输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cou...	以下 C++ 代码段的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int i = 1; switch (i) { case 1: cout <...	段 后， 是什么？ cpp 1 1 2 3 default AB ABCD AD	段的 是什么？ cpp 1 1 2 3 default AB ABCD ABC
0.815789	0.777778	ignore_reviewed_keep_false_positive	single_choice	true	false	GESP-1	papers/2026/2026-05-02-bulk2000-a01-b0282-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0282-gesp-1-easy-v01__question-bundle__single-choice__bas__n5__v01.json#1	papers/2026/2026-05-02-bulk2000-a01-b0282-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0282-gesp-1-easy-v01__question-bundle__single-choice__bas__n5__v01.json	1	2026-05-02-bulk2000-a01-b0282-gesp-1-easy-v01	easy	BAS	GESP-1	324abb9c8fde4dde2fd6e407dcf46d638d64ea99a989435dc101be63446240bc	十进制数255转换为二进制是多少？	papers/2026/2026-05-02-bulk5355-a02-b0086-gesp-1-medium-v01/question-bundles/2026-05-02-bulk5355-a02-b0086-gesp-1-medium-v01__question-bundle__single-choice__bas__n4__v01.json#2	papers/2026/2026-05-02-bulk5355-a02-b0086-gesp-1-medium-v01/question-bundles/2026-05-02-bulk5355-a02-b0086-gesp-1-medium-v01__question-bundle__single-choice__bas__n4__v01.json	2	2026-05-02-bulk5355-a02-b0086-gesp-1-medium-v01	medium	BAS	GESP-1	c45c9cbdce5f1a08e6f4df9cc671654c7bba7337eb1ecb4988e84d459b340919	十进制数254转换为二进制是多少？	十进制数255转换为二进制是多少？ A. 11111110 B. 11111111 C. 100000000 D. 11111011	十进制数254转换为二进制是多少？ A. 11111110 B. 11111111 C. 10000000 D. 11111101	十进制数255转换为二进制是多少？ 11111110 11111111 100000000 11111011	十进制数254转换为二进制是多少？ 11111110 11111111 10000000 11111101
0.812500	0.904762	ignore_reviewed_keep_false_positive	single_choice	true	false		papers/2026/2026-05-01-bulk1000-a01-b0197-gesp-2-easy-v01/question-bundles/2026-05-01-bulk1000-a01-b0197-gesp-2-easy-v01__question-bundle__single-choice__bas__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-a01-b0197-gesp-2-easy-v01/question-bundles/2026-05-01-bulk1000-a01-b0197-gesp-2-easy-v01__question-bundle__single-choice__bas__n5__v01.json	4	2026-05-01-bulk1000-a01-b0197-gesp-2-easy-v01	easy	BAS	GESP-2	bf53adee5c5cc7693f969b754a3ea07f80710f7379c920992492e95813bdb0a3	在C++中，执行以下代码后，变量sum的值是多少？ int sum = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) { sum += i; } }	papers/2026/2026-05-02-bulk1590-a01-b0141-csp-j-medium-v01/question-bundles/2026-05-02-bulk1590-a01-b0141-csp-j-medium-v01__question-bundle__single-choice__bas__n10__v01.json#9	papers/2026/2026-05-02-bulk1590-a01-b0141-csp-j-medium-v01/question-bundles/2026-05-02-bulk1590-a01-b0141-csp-j-medium-v01__question-bundle__single-choice__bas__n10__v01.json	9	2026-05-02-bulk1590-a01-b0141-csp-j-medium-v01	medium	BAS	CSP-J	24222ac514ca472398351d6d2cf4ab735b4375b93a0b5ea093032991ebb95b7b	在C++中，执行以下代码后，变量sum的值是多少？ int sum = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) continue; sum += i; }	在C++中，执行以下代码后，变量sum的值是多少？ int sum = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) { sum += i; } } A. 6 B. 9 C. 15...	在C++中，执行以下代码后，变量sum的值是多少？ int sum = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) continue; sum += i; } A. 6 B. 9...	在 中， 后， 的值是多少？ 0 1 5 2 0 6 9 15 10	在 中， 后， 的值是多少？ 0 1 5 2 0 6 9 15 12
0.786667	0.700000	ignore_reviewed_keep_false_positive	single_choice	true	false		papers/2026/2026-05-02-bulk140-a01-b0041-csp-j-easy-v01/question-bundles/2026-05-02-bulk140-a01-b0041-csp-j-easy-v01__question-bundle__single-choice__ds__n1__v01.json#0	papers/2026/2026-05-02-bulk140-a01-b0041-csp-j-easy-v01/question-bundles/2026-05-02-bulk140-a01-b0041-csp-j-easy-v01__question-bundle__single-choice__ds__n1__v01.json	0	2026-05-02-bulk140-a01-b0041-csp-j-easy-v01	easy	DS	CSP-J	b2aa5ea7224aef2b3cac9387bb6440f223a4acc8692e4c12675abe0fc1e67414	在一个初始为空的栈中依次进行如下操作：push(1), push(2), push(3), pop(), pop(), push(4), pop()。最后栈顶元素的值是多少？	papers/2026/2026-05-02-bulk2000-a01-b0329-gesp-6-medium-v01/question-bundles/2026-05-02-bulk2000-a01-b0329-gesp-6-medium-v01__question-bundle__single-choice__ds__n5__v01.json#0	papers/2026/2026-05-02-bulk2000-a01-b0329-gesp-6-medium-v01/question-bundles/2026-05-02-bulk2000-a01-b0329-gesp-6-medium-v01__question-bundle__single-choice__ds__n5__v01.json	0	2026-05-02-bulk2000-a01-b0329-gesp-6-medium-v01	medium	DS	GESP-6	0150d2bd6f8cea1fe0f121eff790fb88e2bd43d20f8071afbd2e3e1a50496492	在一个初始为空的栈中依次执行以下操作：push(1), push(2), pop(), push(3), push(4), pop(), pop()。请问最后栈顶元素的值是多少？	在一个初始为空的栈中依次进行如下操作：push(1), push(2), push(3), pop(), pop(), push(4), pop()。最后栈顶元素的值是多少？ A. 1 B. 2 C. 3 D. 4	在一个初始为空的栈中依次执行以下操作：push(1), push(2), pop(), push(3), push(4), pop(), pop()。请问最后栈顶元素的值是多少？ A. 1 B. 2 C. 3 D. 4	在一个初始为空的 中依次进行如下操作：push 1 push 2 push 3 pop pop push 4 pop 。最后 顶元素的值是多少？ 1 2 3 4	在一个初始为空的 中依次 操作：push 1 push 2 pop push 3 push 4 pop pop 。请问最后 顶元素的值是多少？ 1 2 3 4
0.782609	0.777778	ignore_reviewed_keep_false_positive	single_choice	true	true	GESP-1	papers/2026/2026-05-02-bulk2000-a02-b0262-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-a02-b0262-gesp-1-easy-v01__question-bundle__single-choice__bas__n5__v01.json#0	papers/2026/2026-05-02-bulk2000-a02-b0262-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-a02-b0262-gesp-1-easy-v01__question-bundle__single-choice__bas__n5__v01.json	0	2026-05-02-bulk2000-a02-b0262-gesp-1-easy-v01	easy	BAS	GESP-1	5eb2f45ffe3a92f39fed7b6021f77cfc9b273f747240f57301c05c90330f7990	在C++中，表达式 (5 > 3) 的值是什么？	papers/2026/2026-05-02-bulk2000-a04-b0256-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-a04-b0256-gesp-1-easy-v01__question-bundle__single-choice__bas__n4__v01.json#3	papers/2026/2026-05-02-bulk2000-a04-b0256-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-a04-b0256-gesp-1-easy-v01__question-bundle__single-choice__bas__n4__v01.json	3	2026-05-02-bulk2000-a04-b0256-gesp-1-easy-v01	easy	BAS	GESP-1	ab35128d9c1d69cd59899d1208042be7cba577d9de0fc2948280bd0214661cf9	在C++中，表达式 (5 > 3) && (2 == 2) 的值是什么？	在C++中，表达式 (5 > 3) 的值是什么？ A. 1 B. 0 C. true D. false	在C++中，表达式 (5 > 3) && (2 == 2) 的值是什么？ A. 1 B. 0 C. true D. false	在 中，表达式 5 3 的值是什么？ 1 0 true false	在 中，表达式 5 3 2 2 的值是什么？ 1 0 true false
0.781915	0.700000	ignore_reviewed_keep_false_positive	completion_program	true	true		papers/2026/2026-05-01-bulk1000-a03-b0007-csp-j-medium-v01/question-bundles/2026-05-01-bulk1000-a03-b0007-csp-j-medium-v01__question-bundle__completion-program__alg__n5__v01.json#3	papers/2026/2026-05-01-bulk1000-a03-b0007-csp-j-medium-v01/question-bundles/2026-05-01-bulk1000-a03-b0007-csp-j-medium-v01__question-bundle__completion-program__alg__n5__v01.json	3	2026-05-01-bulk1000-a03-b0007-csp-j-medium-v01	medium	ALG	CSP-J	8d760a0b80203ea69d79404cc1e1303bec465a822908a0483ee4598b48af5ab1	以下程序用于计算斐波那契数列的第 n 项（n >= 0），数列定义如下：F(0)=1, F(1)=1, F(n)=F(n-1)+F(n-2) (n>=2)。请补全代码中的缺失部分。	papers/2026/2026-05-02-bulk555-a05-b0065-csp-s-medium-v01/question-bundles/2026-05-02-bulk555-a05-b0065-csp-s-medium-v01__question-bundle__completion-program__alg__n4__v01.json#2	papers/2026/2026-05-02-bulk555-a05-b0065-csp-s-medium-v01/question-bundles/2026-05-02-bulk555-a05-b0065-csp-s-medium-v01__question-bundle__completion-program__alg__n4__v01.json	2	2026-05-02-bulk555-a05-b0065-csp-s-medium-v01	medium	ALG	CSP-S	06006feacceda517fcb788ac0ce12dc0331c2f46c020c339fd41fb67dc3e11a5	给定一个整数n，以下程序使用递归计算斐波那契数列的第n项（从0开始，即f(0)=0, f(1)=1）。程序中存在若干空白，请填写正确的代码，使程序能正确输出结果。	#include <iostream> using namespace std; int fib(int n) { if (n == 0 || n == 1) { return 1; } return BLANK1 + BLANK2;...	#include <iostream> using namespace std; int fib(int n) { if (BLANK1) { return 0; } if (n == 1) { return 1; } return ...	fib 0 1 return 1 return fib fib 0 1 return 1 return fib 1 fib 2 fib fib 1 fib 2 fib 1 fib fib 1 fib 2 fib 1 fib 5 8	fib 1 return 1 return fib fib 0 1 return 1 return fib 1 fib 2 fib 0 0 0 1 fib 1 fib 2 fib 1 fib fib 1 fib 1 fib fib 1...
0.776471	0.741935	ignore_reviewed_keep_false_positive	single_choice	true	false		papers/2026/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01/question-bundles/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01__question-bundle__single-choice__cpp__n5__v01.json#3	papers/2026/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01/question-bundles/2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01__question-bundle__single-choice__cpp__n5__v01.json	3	2026-05-01-bulk1000-a04-b0164-gesp-1-medium-v01	medium	CPP	GESP-1	c3cd680b60692d0f57afc7a7d1f06332fe23d89dc3cd0ac9b05f977350ef4e97	在C++中，以下程序的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cout <...	papers/2026/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01/question-bundles/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01__question-bundle__single-choice__cpp__n4__v01.json#1	papers/2026/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01/question-bundles/2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01__question-bundle__single-choice__cpp__n4__v01.json	1	2026-05-02-bulk5355-a05-b0143-csp-j-easy-v01	easy	CPP	CSP-J	22fb8bf5f93ede9e5668c877759f79cb8e4ee7573a29e6c74f3bdbbba5a94d41	以下 C++ 代码段的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int i = 1; switch (i) { case 1: cout <...	在C++中，以下程序的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int x = 1; switch (x) { case 1: cout <...	以下 C++ 代码段的输出是什么？ ```cpp #include <iostream> using namespace std; int main() { int i = 1; switch (i) { case 1: cout <...	在 中， 的 是什么？ cpp 1 1 2 3 default AB ABC ABCD	段的 是什么？ cpp 1 1 2 3 default AB ABCD ABC
0.767045	0.653061	ignore_reviewed_keep_false_positive	single_choice	true	false		papers/2026/2026-05-02-bulk1590-a01-b0005-gesp-1-hard-v01/question-bundles/2026-05-02-bulk1590-a01-b0005-gesp-1-hard-v01__question-bundle__single-choice__cpp__n10__v01.json#9	papers/2026/2026-05-02-bulk1590-a01-b0005-gesp-1-hard-v01/question-bundles/2026-05-02-bulk1590-a01-b0005-gesp-1-hard-v01__question-bundle__single-choice__cpp__n10__v01.json	9	2026-05-02-bulk1590-a01-b0005-gesp-1-hard-v01	hard	CPP	GESP-1	14615ab05bd963212dd35caf7279c0f721b2076d798d1113de87cb98a6695d7f	以下C++代码的输出是什么？ #include <iostream> using namespace std; int main() { int a = 1; switch (a) { case 1: cout << "one "; ...	papers/2026/2026-05-02-bulk2000-a03-b0135-gesp-2-medium-v01/question-bundles/2026-05-02-bulk2000-a03-b0135-gesp-2-medium-v01__question-bundle__single-choice__cpp__n5__v01.json#3	papers/2026/2026-05-02-bulk2000-a03-b0135-gesp-2-medium-v01/question-bundles/2026-05-02-bulk2000-a03-b0135-gesp-2-medium-v01__question-bundle__single-choice__cpp__n5__v01.json	3	2026-05-02-bulk2000-a03-b0135-gesp-2-medium-v01	medium	CPP	GESP-2	ff22db38cee4fb0f74ac15cdcf11e0e9e82c4c52e7890e534dd3bdce904d7727	以下 C++ 代码的输出是什么？ #include <iostream> using namespace std; int main() { int x = 2; switch (x) { case 1: cout << "One";...	以下C++代码的输出是什么？ #include <iostream> using namespace std; int main() { int a = 1; switch (a) { case 1: cout << "one "; ...	以下 C++ 代码的输出是什么？ #include <iostream> using namespace std; int main() { int x = 2; switch (x) { case 1: cout << "One";...	的 是什么？ 1 1 one 2 two 3 three default other one one two one two three other one two three	的 是什么？ 2 1 One 2 Two 3 Three default Other Two TwoThree TwoThreeOther Other
0.763441	0.666667	ignore_reviewed_keep_false_positive	single_choice	true	false	GESP-1	papers/2026/2026-05-02-bulk2000-r03-b0099-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-r03-b0099-gesp-1-easy-v01__question-bundle__single-choice__cpp__n4__v01.json#2	papers/2026/2026-05-02-bulk2000-r03-b0099-gesp-1-easy-v01/question-bundles/2026-05-02-bulk2000-r03-b0099-gesp-1-easy-v01__question-bundle__single-choice__cpp__n4__v01.json	2	2026-05-02-bulk2000-r03-b0099-gesp-1-easy-v01	easy	CPP	GESP-1	2fb6cb95f6ecc7c52edc246571cfadf0e75c8d30f77eae19e01540c10f8aac37	以下C++代码中，变量 sum 的最终值是多少？ int sum = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) { sum += i; } }	papers/2026/2026-05-02-bulk2000-r03-b0187-gesp-1-medium-v01/question-bundles/2026-05-02-bulk2000-r03-b0187-gesp-1-medium-v01__question-bundle__single-choice__cpp__n5__v01.json#2	papers/2026/2026-05-02-bulk2000-r03-b0187-gesp-1-medium-v01/question-bundles/2026-05-02-bulk2000-r03-b0187-gesp-1-medium-v01__question-bundle__single-choice__cpp__n5__v01.json	2	2026-05-02-bulk2000-r03-b0187-gesp-1-medium-v01	medium	CPP	GESP-1	a6b50e5bca0f10bee60f9b4f3b65c3eec5720cc863e51026ff5e1c26e528c70d	以下 C++ 代码片段中，变量 sum 的最终值是多少？ int sum = 0; for (int i = 1; i <= 5; ++i) { if (i % 2 == 1) { sum += i; } }	以下C++代码中，变量 sum 的最终值是多少？ int sum = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) { sum += i; } } A. 6 B. 9 C. 15 ...	以下 C++ 代码片段中，变量 sum 的最终值是多少？ int sum = 0; for (int i = 1; i <= 5; ++i) { if (i % 2 == 1) { sum += i; } } A. 6 B. 9 C....	中， 的最终值是多少？ 0 1 5 2 0 6 9 15 10	片段中， 的最终值是多少？ 0 1 5 2 1 6 9 15 10
0.761905	0.655172	ignore_reviewed_keep_false_positive	single_choice	true	true		papers/2026/2026-05-01-bulk1000-a01-b0149-gesp-3-easy-v01/question-bundles/2026-05-01-bulk1000-a01-b0149-gesp-3-easy-v01__question-bundle__single-choice__alg__n5__v01.json#3	papers/2026/2026-05-01-bulk1000-a01-b0149-gesp-3-easy-v01/question-bundles/2026-05-01-bulk1000-a01-b0149-gesp-3-easy-v01__question-bundle__single-choice__alg__n5__v01.json	3	2026-05-01-bulk1000-a01-b0149-gesp-3-easy-v01	easy	ALG	GESP-3	ae84d1029a5bec525813f7a9287fb0c0f92f92e267a0cbbdf0563e85c898c3a8	以下哪个数据结构最适合用于实现递归函数？	papers/2026/2026-05-02-bulk1590-a01-b0025-csp-s-easy-v01/question-bundles/2026-05-02-bulk1590-a01-b0025-csp-s-easy-v01__question-bundle__single-choice__alg__n9__v01.json#4	papers/2026/2026-05-02-bulk1590-a01-b0025-csp-s-easy-v01/question-bundles/2026-05-02-bulk1590-a01-b0025-csp-s-easy-v01__question-bundle__single-choice__alg__n9__v01.json	4	2026-05-02-bulk1590-a01-b0025-csp-s-easy-v01	easy	ALG	CSP-S	c6e6f89bc0d0c569e0e00d4803797882e8fa37fa7b29439a3dc6ffb93a65acbf	以下哪个数据结构最适合用于实现递归函数的非递归形式？	以下哪个数据结构最适合用于实现递归函数？ A. 队列 B. 栈 C. 链表 D. 哈希表	以下哪个数据结构最适合用于实现递归函数的非递归形式？ A. 队列 B. 栈 C. 链表 D. 哈希表	哪个数据结构最适合用于实现递归函数？ 链表 哈希表	哪个数据结构最适合用于实现递归函数的非递归形式？ 链表 哈希表
0.755319	0.720000	ignore_reviewed_keep_false_positive	single_choice	true	true	GESP-2	papers/2026/2026-05-02-bulk2000-a01-b0021-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0021-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json#4	papers/2026/2026-05-02-bulk2000-a01-b0021-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-a01-b0021-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json	4	2026-05-02-bulk2000-a01-b0021-gesp-2-easy-v01	easy	CPP	GESP-2	f24a3eb701c5b10e26cbd78f835920a614579e4658473c63ac8d12c1c9940c10	以下C++代码段的输出是什么？ int count = 0; for (int i = 0; i < 5; i++) { if (i % 2 == 0) continue; count++; } cout << count;	papers/2026/2026-05-02-bulk2000-r05-b0035-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-r05-b0035-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json#2	papers/2026/2026-05-02-bulk2000-r05-b0035-gesp-2-easy-v01/question-bundles/2026-05-02-bulk2000-r05-b0035-gesp-2-easy-v01__question-bundle__single-choice__cpp__n5__v01.json	2	2026-05-02-bulk2000-r05-b0035-gesp-2-easy-v01	easy	CPP	GESP-2	8b2425e7c2971e10f62d245a4203f2a6dac6d5a096e0962ea8f3dbcfabb7079f	以下C++代码的输出是什么？ int count = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) count++; } cout << count;	以下C++代码段的输出是什么？ int count = 0; for (int i = 0; i < 5; i++) { if (i % 2 == 0) continue; count++; } cout << count; A. 2...	以下C++代码的输出是什么？ int count = 0; for (int i = 1; i <= 5; i++) { if (i % 2 == 0) count++; } cout << count; A. 2 B. 3 C. 4...	段的 是什么？ count 0 0 5 2 0 count count 2 3 4 5	的 是什么？ count 0 1 5 2 0 count count 2 3 4 5
